測試用,#genre#
萌小鬼片✔原,https://www.goodiptv.club/douyu/3928
神樂影劇✔原,https://www.goodiptv.club/douyu/122402
可樂影院✔原,https://www.goodiptv.club/douyu/20415
小宇60幀✔原,https://www.goodiptv.club/douyu/323876
恐怖驚悚✔原,https://www.goodiptv.club/douyu/96577
花捲陪看✔原,https://www.goodiptv.club/douyu/52787
漫威劇情✔原,https://www.goodiptv.club/douyu/6140589
霍格華茲✔原,https://www.goodiptv.club/douyu/8814650
魚寶恐怖✔原,https://www.goodiptv.club/douyu/1165374
鬼片恐怖✔原,https://www.goodiptv.club/douyu/2935323
小u*鬼片✔原,https://www.goodiptv.club/douyu/96577
吃奶滴蟲✔原,https://www.goodiptv.club/douyu/263824
變種人片✔原,hhttps://www.goodiptv.club/douyu/9651304
喜劇電影✔原,https://www.goodiptv.club/douyu/9292492
女神電影✔原,https://www.goodiptv.club/douyu/747764
華文經典✔原,https://www.goodiptv.club/douyu/434971
避風影院✔原,https://www.goodiptv.club/douyu/9826611
歐美大片✔原,https://www.goodiptv.club/douyu/2793084
貝爺max ✔原,https://www.goodiptv.club/douyu/4332
貝爺影廳✔原,https://www.goodiptv.club/douyu/252802
小豬優版劇院,https://www.goodiptv.club/douyu/10297898
趙本山經小品,https://www.goodiptv.club/douyu/9817716
開心麻花小品,https://www.goodiptv.club/douyu/10153463
粵語集輪播台,https://www.goodiptv.club/douyu/10338873
粵語港劇輪播,https://www.goodiptv.club/douyu/6478650
粵語輪播港劇,https://www.goodiptv.club/douyu/9019945
粵語輪播集,https://www.goodiptv.club/douyu/10567318
粵語經典綜藝,https://www.goodiptv.club/douyu/7919720
粵語版電影一,https://www.goodiptv.club/douyu/5033502
粵語版電影二,https://www.goodiptv.club/douyu/6566671
粵語版電影三,https://www.goodiptv.club/douyu/1226741


韓國,#genre#
SBSCJB,http://1.222.207.80:1935/live/cjbtv/chunklist_w1357270949.m3u8
MBC綜藝頻道,http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
NBS農業廣播,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
EBS第一頻道,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/groundwavetablet500k.m3u8
EBS第二頻道,http://ebsonairios.ebs.co.kr/ebs2tablet500k/tablet500k/ebs2tablet500k.index.m3u8
EBS加一頻道,http://ebsonairios.ebs.co.kr/plus1tablet500k/tablet500k/plus1tablet500k.index.m3u8
EBS加二頻道,http://ebsonairios.ebs.co.kr/plus2tablet500k/tablet500k/plus2tablet500k.index.m3u8
韓國EBS兒童頻道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
朝鮮中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韓國阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
韓國KCTV,http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8
KBSLiveCamDokDo,http://kbs-dokdo.gscdn.com/dokdo_300/definst/dokdo_300.stream/playlist.m3u8
BBS불교방송,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist.m3u8
ArirangTVKoreaEN,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
국악방송,http://mgugaklive.nowcdn.co.kr/gugakvideo/gugakvideo.stream/playlist.m3u8

中國衛視,#genre#
浙江衛視,http://61.219.170.95:18534/.m3u8
湖南衛視,http://61.219.170.95:18536/.m3u8
CCTV4,http://61.219.170.95:18633/.m3u8



MOVIE簡中,#genre#
扶桑花女孩,https://vip.lz-cdn7.com/20230223/14473_34758120/index.m3u8
醜女大翻身,https://vip.lz-cdn7.com/20230223/14471_0a1ee6d8/index.m3u8
聊齋畫壁,https://vip.lz-cdn7.com/20230226/14577_538d24e5/index.m3u8


GOOD系列,#genre#
GOOD好消息,http://live.streamingfast.net/osmflivech1.m3u8
GOOD2真理台,http://live.streamingfast.net/osmflivech2.m3u8
GOOD真情部落格,http://live.streamingfast.net/osmflivech3.m3u8
GOOD共享觀點,http://live.streamingfast.net/osmflivech5.m3u8
GOOD經典音樂,http://live.streamingfast.net/osmflivech6.m3u8
GOOD禱告大軍,http://live.streamingfast.net/osmflivech7.m3u8
GOOD幸福學堂,http://live.streamingfast.net/osmflivech8.m3u8
GOOD愛+好醫生,http://live.streamingfast.net/osmflivech9.m3u8
GOOD烤箱讀書會,http://live.streamingfast.net/osmflivech10.m3u8
GOOD我們EYE旅行,http://live.streamingfast.net/osmflivech11.m3u8
GOOD孫叔唱副歌,http://live.streamingfast.net/osmflivech12.m3u8
GOOD健康新煮流,http://live.streamingfast.net/osmflivech13.m3u8
GOOD真情部落格,http://live.streamingfast.net/osmflivech14.m3u8
GOOD真情之夜,http://live.streamingfast.net/osmflivech15.m3u8
GOOD葉光明,http://live.streamingfast.net/osmflivech16.m3u8
GOOD大衛鮑森,http://live.streamingfast.net/osmflivech17.m3u8
GOOD國際講員,http://live.streamingfast.net/osmflivech18.m3u8
GOOD共享觀點,http://live.streamingfast.net/osmflivech19.m3u8
GOOD恩典時分,http://live.streamingfast.net/osmflivech20.m3u8
GOOD華語講員,http://live.streamingfast.net/osmflivech21.m3u8
GOOD職場新視野,http://live.streamingfast.net/osmflivech22.m3u8
GOOD空中主日學生活,http://live.streamingfast.net/osmflivech23.m3u8
GOOD劉三講古,http://live.streamingfast.net/osmflivech24.m3u8
GOOD福氣人生,http://live.streamingfast.net/osmflivech25.m3u8
